seriesdesc,seriestime,afd,rows,fov,voxelsize,contourname,suvmax,suvmin,suvmean,stdev,suvpeak,volume
120s qclear 4 - HPDL,49516000,120000,384,699.9999847,1.8229166,Sph - 05 - 13mm,4.6739087,1.1716123,2.5556366,0.8225672,2.6609018,1.2084949
120s qclear 4 - HPDL,49516000,120000,384,699.9999847,1.8229166,Sph - 06 - 10mm,2.5555315,1.0562551,1.8135037,0.3384295,1.5686536,0.5227783
120s qclear 4 - HPDL,49516000,120000,384,1.8229166,,Sph - 00 - Group,4.8060598,1.0562551,2.8295517,0.6908072,3.3091073,48.0715256
120s qclear 4 - HPDL,49516000,120000,384,1.8229166,,Ins - 00 - Average,0.1293644,0.0242741,0.0502944,0.0133032,,45.2130127
120s qclear 4 - HPDL,49516000,120000,384,1.8229166,,Bkg - 00 - All Groups,1.2641621,0.6818027,0.9527606,0.0606366,,139.3672791
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 01-01,1.0801719,0.8579971,0.9890742,0.045171,,2.7910171
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 01-02,1.0895513,0.8412166,0.9820981,0.0394015,,2.7910171
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 01-03,1.1113878,0.8368933,0.9748744,0.0484438,,2.7652221
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 01-04,1.1552073,0.872799,0.9938413,0.0537329,,2.7880075
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 01-05,1.0975386,0.8426089,0.9682689,0.0458729,,2.7639322
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 02-01,1.1012757,0.9249719,1.0096228,0.0319469,,2.7643621
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 02-02,1.0867668,0.8904586,0.975279,0.0359125,,2.8021948
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 02-03,1.1048663,0.8539668,0.9712811,0.0423791,,2.7776895
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 02-04,1.0622191,0.8380657,0.953856,0.0386484,,2.8073537
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 02-05,1.1129999,0.7790046,0.9500595,0.0743847,,2.7996154
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 03-01,1.0737237,0.8678894,0.9695313,0.038327,,2.7377074
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 03-02,1.0935084,0.848984,0.9551982,0.043031,,2.8082137
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 03-03,1.037012,0.8472986,0.9518898,0.0355132,,2.7970357
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 03-04,1.0991507,0.8239233,0.9587231,0.0514314,,2.8030546
120s qclear 4 - MPDL,49516000,120000,384,699.9999847,1.8229166,Bkg - 03-05,1.1528624,0.8067766,0.945749,0.0547097,,2.8125129
